"IDSample","AccX","AccY","AccZ"
6408,0.179,-0.03,1.129
6409,0.204,-0.033,1.135
6410,0.22,-0.029,1.123
6411,0.223,-0.018,1.094
6412,0.214,0.001,1.052
6413,0.193,0.024,1.004
6414,0.165,0.047,0.956
6415,0.135,0.065,0.914
6416,0.106,0.074,0.882
6417,0.082,0.07,0.864
6418,0.068,0.056,0.864
6419,0.067,0.035,0.881
6420,0.077,0.013,0.913
6421,0.097,-0.004,0.957
6422,0.122,-0.014,1.009
6423,0.148,-0.018,1.061
6424,0.17,-0.017,1.108
6425,0.187,-0.015,1.145
6426,0.196,-0.013,1.166
6427,0.2,-0.011,1.167
6428,0.197,-0.008,1.148
6429,0.189,-0.005,1.112
6430,0.176,0,1.065
6431,0.158,0.005,1.014
6432,0.138,0.011,0.968
6433,0.118,0.016,0.932
6434,0.101,0.019,0.912
6435,0.089,0.02,0.909
6436,0.084,0.018,0.924
6437,0.089,0.014,0.954
6438,0.104,0.009,0.994
6439,0.126,0.005,1.035
6440,0.15,0.002,1.069
6441,0.174,0.001,1.09
6442,0.194,0.004,1.094
6443,0.209,0.011,1.081
6444,0.218,0.021,1.053
6445,0.221,0.032,1.017
6446,0.217,0.043,0.979
6447,0.207,0.05,0.949
6448,0.192,0.051,0.932
6449,0.173,0.045,0.931
6450,0.153,0.032,0.945
6451,0.138,0.015,0.972
6452,0.129,-0.003,1.008
6453,0.129,-0.015,1.047
6454,0.137,-0.018,1.085
6455,0.149,-0.013,1.115
6456,0.162,-0.002,1.135
6457,0.171,0.012,1.14
6458,0.172,0.026,1.129
6459,0.164,0.039,1.103
6460,0.15,0.05,1.065
6461,0.13,0.059,1.018
6462,0.109,0.065,0.969
6463,0.09,0.07,0.924
6464,0.077,0.072,0.889
6465,0.071,0.07,0.87
6466,0.072,0.064,0.872
6467,0.079,0.054,0.896
6468,0.091,0.04,0.941
6469,0.107,0.022,1.002
6470,0.126,0.003,1.07
6471,0.151,-0.013,1.136
6472,0.181,-0.025,1.191
6473,0.214,-0.031,1.228
6474,0.244,-0.031,1.241
6475,0.265,-0.024,1.231
6476,0.274,-0.011,1.198
6477,0.267,0.004,1.147
6478,0.249,0.02,1.084
6479,0.223,0.035,1.018
6480,0.196,0.047,0.958
6481,0.17,0.053,0.91
6482,0.146,0.051,0.881
6483,0.125,0.043,0.874
6484,0.107,0.03,0.889
6485,0.096,0.018,0.924
6486,0.091,0.01,0.973
6487,0.096,0.005,1.027
6488,0.107,0.003,1.078
6489,0.123,0.002,1.116
6490,0.139,0,1.135
6491,0.149,-0.001,1.132
6492,0.15,0,1.107
6493,0.141,0.004,1.063
6494,0.125,0.01,1.007
6495,0.105,0.016,0.948
6496,0.086,0.02,0.896
6497,0.069,0.023,0.859
6498,0.058,0.024,0.842
6499,0.052,0.024,0.848
6500,0.055,0.022,0.874
6501,0.066,0.018,0.916
6502,0.085,0.015,0.965
6503,0.11,0.009,1.013
6504,0.139,0.003,1.049
6505,0.168,-0.002,1.069
6506,0.193,-0.003,1.069
6507,0.212,0.003,1.049
6508,0.22,0.014,1.012
6509,0.217,0.03,0.964
6510,0.203,0.047,0.914
6511,0.182,0.06,0.87
6512,0.158,0.064,0.837
6513,0.134,0.057,0.819
6514,0.114,0.04,0.819
6515,0.103,0.017,0.836
6516,0.101,-0.006,0.869
6517,0.109,-0.023,0.914
6518,0.122,-0.029,0.966
6519,0.138,-0.025,1.019
6520,0.153,-0.015,1.064
6521,0.165,-0.001,1.096
6522,0.171,0.013,1.107
6523,0.171,0.028,1.096
6524,0.164,0.043,1.064
6525,0.149,0.056,1.016
6526,0.129,0.067,0.96
6527,0.106,0.073,0.903
6528,0.084,0.076,0.853
6529,0.068,0.074,0.815
6530,0.06,0.069,0.794
6531,0.061,0.061,0.795
6532,0.069,0.049,0.819
6533,0.081,0.036,0.864
6534,0.097,0.023,0.925
6535,0.115,0.011,0.993
6536,0.135,0.003,1.058
6537,0.159,-0.001,1.11
6538,0.185,-0.001,1.144
6539,0.207,0.004,1.155
6540,0.222,0.014,1.144
6541,0.226,0.027,1.113
6542,0.219,0.041,1.066
6543,0.204,0.052,1.01
6544,0.184,0.059,0.953
6545,0.163,0.059,0.901
6546,0.143,0.053,0.862
6547,0.126,0.04,0.839
6548,0.113,0.024,0.837
6549,0.106,0.008,0.855
6550,0.106,-0.004,0.89
6551,0.114,-0.009,0.936
6552,0.127,-0.007,0.987
6553,0.144,0,1.034
6554,0.159,0.008,1.071
6555,0.171,0.015,1.093
6556,0.175,0.018,1.095
6557,0.172,0.018,1.078
6558,0.162,0.015,1.042
6559,0.148,0.01,0.994
6560,0.131,0.006,0.942
6561,0.115,0.003,0.898
6562,0.101,0.003,0.869
6563,0.09,0.005,0.862
6564,0.082,0.009,0.878
6565,0.079,0.012,0.915
6566,0.083,0.012,0.967
6567,0.094,0.009,1.024
6568,0.11,0.003,1.075
6569,0.128,-0.002,1.113
6570,0.146,-0.004,1.131
6571,0.162,-0.001,1.125
6572,0.173,0.007,1.098
6573,0.179,0.02,1.052
6574,0.183,0.033,0.995
6575,0.185,0.043,0.933
6576,0.187,0.048,0.878
6577,0.186,0.046,0.838
6578,0.182,0.039,0.821
6579,0.172,0.029,0.83
6580,0.158,0.017,0.863
6581,0.142,0.007,0.911
6582,0.128,-0.002,0.964
6583,0.123,-0.006,1.014
6584,0.126,-0.005,1.051
6585,0.139,-0.001,1.071
6586,0.156,0.006,1.072
6587,0.17,0.016,1.055
6588,0.176,0.028,1.024
6589,0.171,0.038,0.984
6590,0.154,0.045,0.942
6591,0.129,0.046,0.901
6592,0.101,0.042,0.865
6593,0.074,0.031,0.837
6594,0.055,0.016,0.819
6595,0.046,0.001,0.814
6596,0.049,-0.011,0.825
6597,0.063,-0.017,0.851
6598,0.086,-0.015,0.89
6599,0.113,-0.008,0.935
6600,0.141,0,0.982
6601,0.163,0.006,1.025
6602,0.179,0.006,1.057
6603,0.185,0.004,1.076
6604,0.185,0.003,1.079
6605,0.179,0.006,1.064
6606,0.172,0.014,1.034
6607,0.168,0.024,0.994
6608,0.167,0.034,0.95
6609,0.168,0.042,0.91
6610,0.17,0.046,0.882
6611,0.168,0.044,0.871
6612,0.161,0.035,0.879
6613,0.149,0.022,0.904
6614,0.135,0.006,0.939
6615,0.125,-0.006,0.976
6616,0.121,-0.012,1.006
6617,0.126,-0.009,1.023
6618,0.138,-0.001,1.023
6619,0.152,0.012,1.005
6620,0.162,0.024,0.973
6621,0.163,0.033,0.93
6622,0.154,0.038,0.881
6623,0.135,0.039,0.831
6624,0.111,0.039,0.786
6625,0.087,0.039,0.75
6626,0.068,0.038,0.729
6627,0.056,0.037,0.729
6628,0.051,0.034,0.752
6629,0.052,0.028,0.797
6630,0.06,0.023,0.858
6631,0.074,0.019,0.926
6632,0.096,0.018,0.99
6633,0.124,0.019,1.042
6634,0.155,0.021,1.077
6635,0.185,0.026,1.091
6636,0.207,0.032,1.083
6637,0.217,0.042,1.057
6638,0.214,0.054,1.017
6639,0.202,0.068,0.968
6640,0.184,0.078,0.917
6641,0.167,0.083,0.87
6642,0.155,0.079,0.833
6643,0.148,0.067,0.809
6644,0.144,0.05,0.801
6645,0.143,0.032,0.811
6646,0.143,0.016,0.836
6647,0.146,0.006,0.871
6648,0.153,0.003,0.91
6649,0.164,0.007,0.947
6650,0.176,0.015,0.975
6651,0.186,0.025,0.991
6652,0.19,0.033,0.993
6653,0.186,0.04,0.98
6654,0.173,0.047,0.956
6655,0.154,0.053,0.923
6656,0.134,0.06,0.887
6657,0.116,0.066,0.856
6658,0.103,0.069,0.833
6659,0.094,0.067,0.824
6660,0.089,0.056,0.829
6661,0.088,0.04,0.85
6662,0.09,0.022,0.885
6663,0.097,0.005,0.932
6664,0.11,-0.006,0.983
6665,0.128,-0.009,1.032
6666,0.152,-0.006,1.073
6667,0.175,0.002,1.101
6668,0.192,0.012,1.113
6669,0.196,0.023,1.108
6670,0.186,0.034,1.09
6671,0.166,0.044,1.059
6672,0.142,0.051,1.019
6673,0.121,0.052,0.974
6674,0.106,0.048,0.928
6675,0.098,0.039,0.887
6676,0.094,0.026,0.854
6677,0.092,0.01,0.831
6678,0.093,-0.005,0.822
6679,0.097,-0.019,0.827
6680,0.108,-0.028,0.844
6681,0.125,-0.03,0.869
6682,0.147,-0.024,0.897
6683,0.17,-0.012,0.924
6684,0.189,0.005,0.945
6685,0.199,0.025,0.959
6686,0.197,0.043,0.964
6687,0.183,0.056,0.963
6688,0.162,0.061,0.955
6689,0.139,0.058,0.942
6690,0.121,0.049,0.928
6691,0.112,0.037,0.916
6692,0.113,0.025,0.91
6693,0.121,0.016,0.914
6694,0.135,0.01,0.93
6695,0.152,0.007,0.957
6696,0.169,0.007,0.991
6697,0.183,0.008,1.025
6698,0.193,0.01,1.055
6699,0.197,0.014,1.076
6700,0.193,0.021,1.084
6701,0.182,0.033,1.078
6702,0.167,0.049,1.058
6703,0.152,0.066,1.025
6704,0.139,0.08,0.982
6705,0.133,0.087,0.936
6706,0.132,0.085,0.892
6707,0.135,0.075,0.859
6708,0.139,0.058,0.842
6709,0.142,0.037,0.845
6710,0.145,0.014,0.868
6711,0.149,-0.006,0.907
6712,0.157,-0.019,0.958
6713,0.17,-0.023,1.013
6714,0.186,-0.017,1.065
6715,0.201,-0.004,1.108
6716,0.214,0.014,1.136
6717,0.222,0.032,1.146
6718,0.225,0.047,1.136
6719,0.222,0.056,1.108
6720,0.213,0.058,1.066
6721,0.201,0.053,1.019
6722,0.185,0.043,0.974
6723,0.169,0.033,0.938
6724,0.155,0.025,0.918
6725,0.145,0.021,0.917
6726,0.14,0.02,0.936
6727,0.141,0.02,0.971
6728,0.148,0.02,1.015
6729,0.16,0.019,1.06
6730,0.172,0.018,1.1
6731,0.184,0.017,1.127
6732,0.193,0.016,1.139
6733,0.197,0.018,1.134
6734,0.197,0.022,1.112
6735,0.193,0.029,1.077
6736,0.187,0.04,1.036
6737,0.178,0.05,0.994
6738,0.169,0.055,0.956
6739,0.16,0.05,0.927
6740,0.153,0.035,0.909
6741,0.149,0.014,0.904
6742,0.149,-0.01,0.914
6743,0.153,-0.029,0.936
6744,0.161,-0.038,0.969
6745,0.171,-0.037,1.008
6746,0.182,-0.027,1.048
6747,0.194,-0.013,1.08
6748,0.204,0.002,1.099
6749,0.21,0.015,1.101
6750,0.212,0.026,1.084
6751,0.208,0.034,1.052
6752,0.2,0.038,1.008
6753,0.187,0.039,0.958
6754,0.174,0.036,0.909
6755,0.163,0.032,0.868
6756,0.154,0.028,0.841
6757,0.149,0.025,0.832
6758,0.147,0.02,0.844
6759,0.146,0.015,0.876
6760,0.146,0.007,0.925
6761,0.144,0.001,0.985
6762,0.141,-0.003,1.047
6763,0.139,-0.003,1.101
6764,0.14,0.001,1.141
6765,0.144,0.008,1.158
6766,0.152,0.016,1.149
6767,0.163,0.024,1.117
6768,0.174,0.033,1.066
6769,0.184,0.042,1.005
6770,0.19,0.049,0.943
6771,0.191,0.051,0.891
6772,0.188,0.045,0.856
6773,0.182,0.031,0.841
6774,0.176,0.012,0.849
6775,0.172,-0.009,0.878
6776,0.175,-0.024,0.923
6777,0.186,-0.031,0.975
6778,0.204,-0.03,1.027
6779,0.225,-0.023,1.07
6780,0.245,-0.012,1.098
6781,0.26,0.001,1.106
6782,0.267,0.014,1.093
6783,0.264,0.025,1.064
6784,0.254,0.034,1.023
6785,0.238,0.039,0.975
6786,0.221,0.04,0.926
6787,0.205,0.038,0.884
6788,0.191,0.037,0.853
6789,0.18,0.038,0.84
6790,0.172,0.039,0.847
6791,0.166,0.038,0.874
6792,0.162,0.035,0.917
6793,0.16,0.029,0.972
6794,0.159,0.022,1.031
6795,0.16,0.015,1.086
6796,0.165,0.009,1.13
6797,0.176,0.003,1.157
6798,0.193,-0.003,1.164
6799,0.213,-0.004,1.152
6800,0.23,0.001,1.125
6801,0.24,0.013,1.088
6802,0.241,0.028,1.051
6803,0.234,0.04,1.018
6804,0.222,0.043,0.995
6805,0.208,0.036,0.983
6806,0.195,0.018,0.985
6807,0.187,-0.004,0.998
6808,0.185,-0.026,1.022
6809,0.193,-0.042,1.05
6810,0.21,-0.049,1.078
6811,0.232,-0.046,1.098
6812,0.254,-0.038,1.106
6813,0.271,-0.029,1.101
6814,0.28,-0.023,1.083
6815,0.28,-0.021,1.054
6816,0.27,-0.019,1.018
6817,0.254,-0.016,0.979
6818,0.232,-0.008,0.942
6819,0.208,0.001,0.912
6820,0.182,0.009,0.893
6821,0.158,0.01,0.887
6822,0.139,0.003,0.895
6823,0.126,-0.01,0.916
6824,0.121,-0.024,0.95
6825,0.125,-0.037,0.991
6826,0.138,-0.045,1.037
6827,0.16,-0.048,1.082
6828,0.189,-0.049,1.121
6829,0.218,-0.049,1.147
6830,0.241,-0.046,1.158
6831,0.254,-0.039,1.152
6832,0.257,-0.026,1.13
6833,0.252,-0.01,1.097
6834,0.243,0.007,1.055
6835,0.232,0.021,1.011
6836,0.222,0.028,0.97
6837,0.21,0.028,0.938
6838,0.197,0.02,0.919
6839,0.184,0.006,0.916
6840,0.174,-0.012,0.93
6841,0.169,-0.031,0.955
6842,0.174,-0.048,0.987
6843,0.188,-0.06,1.02
6844,0.211,-0.067,1.047
6845,0.24,-0.068,1.063
6846,0.269,-0.065,1.066
6847,0.29,-0.059,1.056
6848,0.3,-0.05,1.035
6849,0.295,-0.038,1.008
6850,0.277,-0.025,0.98
6851,0.253,-0.013,0.953
6852,0.226,-0.003,0.932
6853,0.201,0.002,0.92
6854,0.183,0.002,0.919
6855,0.17,-0.003,0.931
6856,0.165,-0.013,0.954
6857,0.166,-0.026,0.986
6858,0.173,-0.041,1.02
6859,0.184,-0.053,1.05
6860,0.198,-0.059,1.073
6861,0.211,-0.059,1.085
6862,0.224,-0.053,1.085
6863,0.233,-0.044,1.075
6864,0.237,-0.034,1.056
6865,0.236,-0.021,1.033
6866,0.228,-0.007,1.01
6867,0.217,0.007,0.99
6868,0.204,0.018,0.976
6869,0.193,0.022,0.967
6870,0.186,0.018,0.964
6871,0.184,0.005,0.967
6872,0.187,-0.013,0.975
6873,0.194,-0.033,0.988
6874,0.207,-0.052,1.004
6875,0.223,-0.065,1.019
6876,0.24,-0.071,1.032
6877,0.256,-0.069,1.041
6878,0.268,-0.059,1.044
6879,0.273,-0.043,1.041
6880,0.27,-0.024,1.033
6881,0.261,-0.005,1.018
6882,0.247,0.009,0.996
6883,0.228,0.018,0.968
6884,0.208,0.02,0.938
6885,0.19,0.016,0.908
6886,0.176,0.007,0.883
6887,0.167,-0.005,0.866
6888,0.161,-0.017,0.861
6889,0.157,-0.028,0.869
6890,0.157,-0.036,0.891
6891,0.161,-0.042,0.923
6892,0.17,-0.044,0.96
6893,0.181,-0.047,0.994
6894,0.193,-0.048,1.02
6895,0.202,-0.049,1.033
6896,0.207,-0.046,1.031
6897,0.207,-0.036,1.017
6898,0.201,-0.02,0.992
6899,0.191,0.001,0.96
6900,0.18,0.022,0.925
6901,0.17,0.036,0.894
6902,0.164,0.04,0.869
6903,0.165,0.03,0.855
6904,0.171,0.011,0.854
6905,0.182,-0.013,0.868
6906,0.193,-0.037,0.895
6907,0.203,-0.054,0.932
6908,0.211,-0.063,0.972
6909,0.219,-0.063,1.008
6910,0.227,-0.056,1.033
6911,0.235,-0.045,1.041
6912,0.242,-0.032,1.033
6913,0.244,-0.021,1.009
6914,0.238,-0.011,0.973
6915,0.223,-0.004,0.93
6916,0.2,0,0.887
6917,0.173,0.004,0.848
6918,0.146,0.007,0.817
6919,0.126,0.009,0.795
6920,0.115,0.01,0.786
6921,0.115,0.005,0.788
6922,0.124,-0.004,0.803
6923,0.139,-0.015,0.83
6924,0.157,-0.025,0.867
6925,0.176,-0.03,0.91
6926,0.191,-0.031,0.954
6927,0.202,-0.029,0.992
6928,0.209,-0.027,1.019
6929,0.212,-0.023,1.031
6930,0.209,-0.015,1.026
6931,0.203,-0.003,1.007
6932,0.196,0.011,0.975
6933,0.187,0.024,0.937
6934,0.178,0.031,0.9
6935,0.169,0.031,0.872
6936,0.159,0.022,0.856
6937,0.148,0.007,0.855
6938,0.137,-0.013,0.869
6939,0.129,-0.036,0.897
6940,0.127,-0.059,0.933
6941,0.135,-0.078,0.97
6942,0.152,-0.089,1.003
6943,0.174,-0.09,1.027
6944,0.196,-0.08,1.039
6945,0.213,-0.061,1.039
6946,0.221,-0.04,1.028
6947,0.218,-0.022,1.009
6948,0.207,-0.01,0.984
6949,0.19,-0.006,0.956
6950,0.172,-0.008,0.929
6951,0.157,-0.015,0.905
6952,0.149,-0.024,0.887
6953,0.149,-0.031,0.877
6954,0.155,-0.037,0.875
6955,0.165,-0.041,0.883
6956,0.175,-0.044,0.901
6957,0.182,-0.047,0.928
6958,0.186,-0.05,0.961
6959,0.189,-0.053,0.993
6960,0.192,-0.053,1.02
6961,0.198,-0.049,1.037
6962,0.205,-0.038,1.041
6963,0.212,-0.021,1.031
6964,0.217,-0.001,1.009
6965,0.219,0.021,0.977
6966,0.215,0.04,0.938
6967,0.207,0.053,0.897
6968,0.196,0.058,0.863
6969,0.185,0.052,0.841
6970,0.175,0.038,0.837
6971,0.169,0.018,0.853
6972,0.165,-0.002,0.886
6973,0.166,-0.019,0.932
6974,0.172,-0.03,0.985
6975,0.183,-0.033,1.036
6976,0.199,-0.032,1.079
6977,0.219,-0.028,1.106
6978,0.238,-0.023,1.114
6979,0.254,-0.019,1.101
6980,0.263,-0.014,1.07
6981,0.263,-0.007,1.025
6982,0.256,0.005,0.972
6983,0.243,0.019,0.917
6984,0.228,0.032,0.868
6985,0.211,0.038,0.83
6986,0.194,0.036,0.807
6987,0.178,0.025,0.803
6988,0.166,0.01,0.816
6989,0.158,-0.003,0.844
6990,0.157,-0.011,0.885
6991,0.162,-0.011,0.934
6992,0.171,-0.005,0.984
6993,0.183,0.004,1.03
6994,0.194,0.012,1.066
6995,0.204,0.018,1.086
6996,0.211,0.021,1.089
6997,0.216,0.023,1.075
6998,0.22,0.025,1.046
6999,0.224,0.027,1.007
7000,0.228,0.029,0.964
7001,0.231,0.029,0.922
7002,0.233,0.027,0.89
7003,0.232,0.024,0.875
7004,0.226,0.019,0.88
7005,0.217,0.012,0.908
7006,0.208,0.002,0.954
7007,0.2,-0.008,1.011
7008,0.199,-0.018,1.07
7009,0.205,-0.024,1.121
7010,0.217,-0.027,1.154
7011,0.234,-0.026,1.166
7012,0.25,-0.021,1.154
7013,0.261,-0.014,1.119
7014,0.266,-0.006,1.07
7015,0.262,0.002,1.012
7016,0.25,0.007,0.955
7017,0.231,0.009,0.905
7018,0.209,0.005,0.866
7019,0.189,-0.003,0.841
7020,0.172,-0.014,0.832
7021,0.16,-0.024,0.839
7022,0.155,-0.029,0.862
7023,0.153,-0.028,0.899
7024,0.154,-0.02,0.946
7025,0.156,-0.009,0.995
7026,0.159,0.001,1.04
7027,0.164,0.009,1.072
7028,0.172,0.013,1.087
7029,0.184,0.013,1.085
7030,0.199,0.014,1.068
7031,0.215,0.015,1.039
7032,0.227,0.02,1.004
7033,0.233,0.026,0.967
7034,0.23,0.031,0.934
7035,0.222,0.033,0.91
7036,0.21,0.029,0.897
7037,0.197,0.019,0.898
7038,0.187,0.003,0.914
7039,0.18,-0.015,0.944
7040,0.178,-0.033,0.984
7041,0.181,-0.045,1.029
7042,0.191,-0.05,1.07
7043,0.206,-0.049,1.101
7044,0.224,-0.043,1.117
7045,0.242,-0.037,1.116
7046,0.257,-0.032,1.098
7047,0.267,-0.031,1.065
7048,0.268,-0.031,1.023
7049,0.263,-0.03,0.976
7050,0.25,-0.027,0.931
7051,0.231,-0.023,0.891
7052,0.209,-0.019,0.863
7053,0.188,-0.017,0.849
7054,0.17,-0.017,0.852
7055,0.159,-0.02,0.875
7056,0.156,-0.025,0.916
7057,0.159,-0.03,0.97
7058,0.168,-0.033,1.032
7059,0.184,-0.034,1.091
7060,0.205,-0.033,1.14
7061,0.229,-0.029,1.173
7062,0.252,-0.023,1.188
7063,0.27,-0.018,1.183
7064,0.278,-0.013,1.159
7065,0.276,-0.007,1.12
7066,0.265,0,1.072
7067,0.247,0.008,1.023
7068,0.228,0.015,0.98
7069,0.211,0.016,0.951
7070,0.198,0.01,0.941
7071,0.188,-0.002,0.954
7072,0.182,-0.018,0.987
7073,0.179,-0.034,1.035
7074,0.182,-0.046,1.09
7075,0.194,-0.054,1.141
7076,0.214,-0.059,1.178
7077,0.242,-0.061,1.195
7078,0.271,-0.061,1.191
7079,0.297,-0.059,1.168
7080,0.313,-0.054,1.133
7081,0.317,-0.047,1.091
7082,0.308,-0.039,1.047
7083,0.289,-0.031,1.005
7084,0.265,-0.024,0.966
7085,0.243,-0.019,0.933
7086,0.227,-0.018,0.909
7087,0.219,-0.019,0.897
7088,0.216,-0.021,0.898
7089,0.216,-0.023,0.914
7090,0.214,-0.025,0.943
7091,0.212,-0.024,0.985
7092,0.21,-0.023,1.032
7093,0.211,-0.023,1.08
7094,0.218,-0.024,1.119
7095,0.229,-0.027,1.146
7096,0.244,-0.03,1.156
7097,0.259,-0.031,1.149
7098,0.268,-0.028,1.128
7099,0.268,-0.021,1.096
7100,0.26,-0.01,1.059
7101,0.245,0,1.022
7102,0.227,0.008,0.99
7103,0.209,0.009,0.966
7104,0.195,0.005,0.953
7105,0.185,-0.004,0.953
7106,0.179,-0.014,0.967
7107,0.177,-0.023,0.991
7108,0.181,-0.03,1.019
7109,0.192,-0.035,1.043
7110,0.21,-0.038,1.058
7111,0.234,-0.039,1.059
7112,0.262,-0.038,1.046
7113,0.287,-0.035,1.022
7114,0.305,-0.03,0.991
7115,0.312,-0.024,0.96
7116,0.306,-0.019,0.933
7117,0.29,-0.014,0.916
7118,0.269,-0.01,0.909
7119,0.25,-0.008,0.913
7120,0.239,-0.01,0.927
7121,0.236,-0.016,0.949
7122,0.238,-0.024,0.977
7123,0.24,-0.033,1.008
7124,0.241,-0.039,1.039
7125,0.24,-0.042,1.068
7126,0.24,-0.041,1.091
7127,0.243,-0.04,1.103
7128,0.249,-0.037,1.103
7129,0.258,-0.035,1.092
7130,0.267,-0.03,1.074
7131,0.271,-0.023,1.053
7132,0.27,-0.013,1.035
7133,0.262,-0.001,1.02
7134,0.25,0.012,1.01
7135,0.235,0.023,1.005
7136,0.222,0.031,1.003
7137,0.215,0.033,1.004
7138,0.213,0.027,1.01
7139,0.216,0.015,1.019
7140,0.221,-0.001,1.033
7141,0.226,-0.019,1.05
7142,0.231,-0.035,1.069
7143,0.237,-0.046,1.086
7144,0.247,-0.052,1.099
7145,0.26,-0.052,1.107
7146,0.275,-0.046,1.109
7147,0.291,-0.037,1.102
7148,0.305,-0.026,1.088
7149,0.314,-0.013,1.07
7150,0.316,0.001,1.048
7151,0.31,0.016,1.024
7152,0.296,0.031,0.999
7153,0.276,0.043,0.975
7154,0.255,0.049,0.953
7155,0.235,0.049,0.936
7156,0.218,0.042,0.925
7157,0.205,0.032,0.921
7158,0.197,0.022,0.926
7159,0.195,0.015,0.938
7160,0.197,0.014,0.956
7161,0.205,0.016,0.977
7162,0.216,0.02,0.998
7163,0.23,0.022,1.017
7164,0.243,0.022,1.032
7165,0.253,0.021,1.042
7166,0.257,0.022,1.045
7167,0.256,0.026,1.04
7168,0.249,0.033,1.027
7169,0.241,0.042,1.006
7170,0.232,0.048,0.979
7171,0.224,0.048,0.949
7172,0.216,0.041,0.921
7173,0.207,0.03,0.901
7174,0.196,0.017,0.893
7175,0.185,0.007,0.9
7176,0.176,0.001,0.921
7177,0.174,-0.003,0.949
7178,0.182,-0.003,0.979
7179,0.199,-0.002,1.004
7180,0.223,0,1.018
7181,0.249,0.003,1.021
7182,0.272,0.008,1.013
7183,0.285,0.015,0.996
7184,0.286,0.024,0.972
7185,0.275,0.035,0.944
7186,0.256,0.044,0.914
7187,0.235,0.05,0.884
7188,0.217,0.05,0.858
7189,0.201,0.045,0.836
7190,0.187,0.037,0.822
7191,0.172,0.027,0.819
7192,0.157,0.017,0.83
7193,0.143,0.01,0.853
7194,0.133,0.005,0.885
7195,0.132,0.002,0.919
7196,0.14,0.002,0.951
7197,0.155,0.003,0.977
7198,0.173,0.005,0.997
7199,0.189,0.008,1.01
7200,0.2,0.013,1.014
7201,0.203,0.021,1.011
7202,0.201,0.033,1
7203,0.197,0.044,0.981
7204,0.195,0.054,0.96
7205,0.194,0.058,0.939
7206,0.194,0.056,0.924
7207,0.191,0.049,0.921
7208,0.185,0.037,0.929
7209,0.176,0.023,0.949
7210,0.171,0.008,0.977
7211,0.173,-0.006,1.009
7212,0.184,-0.016,1.041
7213,0.203,-0.023,1.07
7214,0.226,-0.024,1.096
7215,0.248,-0.023,1.117
7216,0.266,-0.021,1.131
7217,0.278,-0.018,1.137
7218,0.282,-0.015,1.133
7219,0.278,-0.011,1.117
7220,0.269,-0.006,1.089
7221,0.257,-0.001,1.053
7222,0.243,0.004,1.013
7223,0.226,0.007,0.975
7224,0.205,0.008,0.942
7225,0.181,0.009,0.92
7226,0.157,0.01,0.91
7227,0.138,0.011,0.913
7228,0.128,0.012,0.927
7229,0.129,0.013,0.949
7230,0.142,0.014,0.976
7231,0.16,0.015,1.003
7232,0.18,0.014,1.025
7233,0.196,0.013,1.04
7234,0.204,0.012,1.047
7235,0.205,0.011,1.045
7236,0.199,0.011,1.035
7237,0.19,0.013,1.017
7238,0.18,0.014,0.994
7239,0.174,0.012,0.966
7240,0.171,0.005,0.937
7241,0.17,-0.006,0.91
7242,0.169,-0.019,0.889
7243,0.166,-0.031,0.88
7244,0.163,-0.039,0.885
7245,0.164,-0.042,0.903
7246,0.169,-0.04,0.931
7247,0.181,-0.035,0.964
7248,0.197,-0.027,0.996
7249,0.216,-0.015,1.023
7250,0.232,-0.002,1.041
7251,0.242,0.009,1.047
7252,0.244,0.016,1.04
7253,0.238,0.015,1.02
7254,0.227,0.006,0.987
7255,0.215,-0.009,0.944
7256,0.205,-0.026,0.894
7257,0.2,-0.039,0.845
7258,0.197,-0.047,0.803
7259,0.192,-0.047,0.776
7260,0.182,-0.039,0.768
7261,0.166,-0.028,0.781
7262,0.149,-0.016,0.813
7263,0.134,-0.008,0.857
7264,0.125,-0.008,0.904
7265,0.126,-0.013,0.944
7266,0.135,-0.02,0.969
7267,0.15,-0.024,0.977
7268,0.165,-0.021,0.967
7269,0.177,-0.011,0.944
7270,0.181,0.004,0.911
7271,0.178,0.019,0.873
7272,0.168,0.03,0.834
7273,0.154,0.036,0.801
7274,0.138,0.035,0.779
7275,0.125,0.029,0.772
7276,0.114,0.019,0.783
7277,0.11,0.008,0.809
7278,0.112,-0.001,0.848
7279,0.121,-0.006,0.893
7280,0.138,-0.006,0.936
7281,0.162,-0.003,0.972
7282,0.19,0,0.996
7283,0.219,0.001,1.006
7284,0.243,0,1.003
7285,0.257,0,0.988
7286,0.261,0.001,0.965
7287,0.255,0.005,0.937
7288,0.241,0.01,0.905
7289,0.224,0.017,0.872
7290,0.207,0.024,0.839
7291,0.192,0.029,0.811
7292,0.179,0.031,0.79
7293,0.167,0.032,0.78
7294,0.153,0.031,0.784
7295,0.139,0.029,0.802
7296,0.127,0.027,0.831
7297,0.121,0.025,0.868
7298,0.125,0.022,0.905
7299,0.138,0.019,0.938
7300,0.16,0.016,0.962
7301,0.186,0.014,0.975
7302,0.211,0.015,0.974
7303,0.228,0.019,0.959
7304,0.234,0.026,0.932
7305,0.228,0.035,0.895
7306,0.213,0.046,0.852
7307,0.193,0.056,0.808
7308,0.171,0.062,0.769
7309,0.15,0.062,0.743
7310,0.13,0.054,0.731
7311,0.11,0.043,0.737
7312,0.094,0.031,0.757
7313,0.086,0.021,0.79
7314,0.089,0.014,0.827
7315,0.105,0.01,0.863
7316,0.134,0.007,0.891
