"IDSample","AccX","AccY","AccZ"
452,0.043,-0.015,0.963
453,0.057,-0.009,0.96
454,0.075,0.007,0.955
455,0.093,0.025,0.95
456,0.105,0.037,0.947
457,0.109,0.039,0.951
458,0.101,0.03,0.962
459,0.084,0.015,0.981
460,0.062,-0.001,1.007
461,0.043,-0.011,1.038
462,0.032,-0.014,1.071
463,0.034,-0.011,1.1
464,0.05,-0.005,1.12
465,0.08,-0.001,1.127
466,0.118,-0.001,1.12
467,0.157,-0.006,1.104
468,0.185,-0.014,1.085
469,0.194,-0.02,1.069
470,0.181,-0.02,1.061
471,0.15,-0.012,1.057
472,0.112,0.003,1.056
473,0.079,0.019,1.054
474,0.058,0.03,1.05
475,0.052,0.035,1.047
476,0.055,0.035,1.047
477,0.06,0.033,1.053
478,0.062,0.032,1.067
479,0.059,0.033,1.088
480,0.054,0.033,1.113
481,0.053,0.028,1.136
482,0.06,0.018,1.152
483,0.077,0.003,1.159
484,0.101,-0.011,1.154
485,0.127,-0.02,1.14
486,0.146,-0.023,1.122
487,0.151,-0.019,1.103
488,0.136,-0.009,1.088
489,0.104,0.004,1.078
490,0.061,0.019,1.07
491,0.02,0.032,1.065
492,-0.008,0.042,1.061
493,-0.018,0.047,1.058
494,-0.01,0.046,1.056
495,0.012,0.041,1.055
496,0.041,0.033,1.054
497,0.074,0.024,1.05
498,0.109,0.017,1.04
499,0.142,0.013,1.021
500,0.171,0.013,0.995
501,0.193,0.013,0.966
502,0.205,0.012,0.941
503,0.205,0.011,0.924
504,0.196,0.014,0.921
505,0.18,0.024,0.935
506,0.163,0.042,0.963
507,0.148,0.063,1
508,0.138,0.081,1.038
509,0.133,0.087,1.067
510,0.132,0.08,1.081
511,0.135,0.063,1.074
512,0.138,0.042,1.047
513,0.137,0.024,1.006
514,0.132,0.01,0.956
515,0.122,0.003,0.905
516,0.109,0.003,0.857
517,0.095,0.011,0.819
518,0.084,0.025,0.794
519,0.074,0.043,0.784
520,0.064,0.061,0.786
521,0.052,0.075,0.798
522,0.038,0.083,0.816
523,0.023,0.089,0.834
524,0.012,0.098,0.849
525,0.007,0.111,0.857
526,0.008,0.127,0.856
527,0.013,0.137,0.843
528,0.021,0.135,0.819
529,0.031,0.122,0.786
530,0.044,0.102,0.748
531,0.057,0.08,0.714
